회사명,등급,005000/종업원수,011100/  현금및현금등가물,012000/유동자산(계),013000/투자자산(계),013200/유형자산(계),013400/무형자산,014000/비유동자산,015000/총자산(지급보증제외),016000/유동부채(계),017000/비유동부채(계),018000/부채총계,018100/자본금,018102/[1주의 금액],018110/보통주자본금,018111/ [보통주발행주식수],018200/ 자본잉여금,018300/ 이익잉여금,018900/자기자본,019000/부채와자본총계,021000/영업수익,023000/매출총이익,024000/판매비와관리비,025000/영업이익,025100/영업외수익,026000/영업외비용,028000/법인세차감전순이익(손실),028100/법인세비용(법인세등),029000/당기순이익,029009/기본주당순이익,035000/(합계)처분가능이익잉여금,036300/배당금,036400/배당률,036310/현금배당금,061000/영업활동으로인한현금흐름,061100/ 당기순이익(손실),062000/투자활동으로인한현금흐름,062500/ 투자활동으로인한현금유출액,063000/재무활동으로인한현금흐름,064000/현금예금의증가,065000/기초현금과예금,066000/기말현금과예금,091010/총자산증가율,091050/자기자본증가율,091060/영업수익증가율,091065/영업이익증가율,091070/법인세비용차감전순이익증가율,091080/순이익증가율,091090/종업원수증가율,092010/총자본세전이익율,092060/자기자본법인세비용차감전순이익율,092070/자기자본순이익율,092080/자본금법인세비용차감전순이익율,092090/자본금순이익율,092100/매출액법인세비용차감전순이익율,092110/매출액순이익율,092120/매출액영업이익율,093010/자기자본비율,093060/부채비율,094010/총자본회전율,093190/유보액대납입자본비율,095020/종업원1인당영업수익
BNK금융지주,A1,107.8,1.42469E+11,0,0,1589800000,2167111400,0,4.531E+12,0,0,1.2645E+12,1.3161E+12,5000,1.62968E+12,325935246,2.68586E+12,4.19147E+11,4.73127E+12,5.99577E+12,1.35547E+11,0,28207514000,73628668200,158336000,3861685000,69925318200,0,69925318200,160.2,1.08219E+11,88650346200,5.44,88650346200,94327183200,69925318200,-1.57794E+11,1.5791E+11,68502449800,5035718000,1.37433E+11,1.42469E+11,2.588,2.734,-10.074,-16.192,-17.668,-17.668,30.83,1.194,3.396,1.512,4.288,5.224,45.344,45.344,48.43,78.908,26.732,0.024,190.33,951941442
DGB금융지주,A1,99.6,42379250400,0,36935821600,395200000,1165399800,0,1.66369E+13,0,0,7.89811E+11,1.09944E+12,5000,8.45729E+11,169145833,1.65027E+12,1.62169E+11,2.65697E+12,3.44678E+12,1.25019E+11,0,14355687200,94175199400,1040638600,542000000,94673837400,-11844600,94685682000,539.4,1.21438E+11,59539200000,7.04,59539200000,56142450000,94685682000,-2.58432E+11,3.22438E+11,1.99179E+11,-3110334800,6729585200,3619250400,9.85,4.966,17.056,21.736,21.882,21.758,22.686,2.876,4.308,3.648,11.192,17.632,75.768,75.77,75.342,77.276,29.574,0.04,214.162,1439423458
JB금융지주,A1,48.6,39104200000,0,0,0,3847400000,0,2.19354E+12,0,0,4.55865E+11,6.19526E+11,2300,9.01827E+11,180365505.6,7.55941E+11,95521800000,1.73768E+12,2.19354E+12,97285600000,0,18098400000,62489200000,561200000,23800000,63026600000,0,63026600000,339.2,70761800000,27103200000,2.918,27103200000,75738200000,63026600000,-94878000000,95440000000,44289200000,25149400000,13954800000,39104200000,12.786,17.374,25.52,28.924,29.034,29.034,16.166,3.054,3.932,3.932,7.522,7.522,64.842,64.842,64.294,78.992,26.73,0.05,94.298,921556770
KB금융지주,A1,131.6,3.04741E+11,0,7928310000,2158000000,9333200000,0,2.51028E+13,0,0,6.32162E+12,1.56521E+12,5000,2.09056E+12,418111537,1.32769E+13,3.14989E+12,1.90934E+13,2.5415E+13,9.60002E+11,0,57701000000,7.76503E+11,880000000,985400000,7.76398E+11,-515000000,7.76913E+11,1956.2,1.79743E+12,7.62533E+11,38.4,7.62533E+11,7.82854E+11,7.76913E+11,-5.83155E+11,5.96341E+11,-88224400000,1.11475E+11,1.93263E+11,3.04738E+11,4.206,0.046,33.122,38.874,38.854,37.892,3.452,3.1,2.87,4.07,37.136,44.29,80.106,80.26,80.116,75.134,33.11,0.036,855.578,5709661754
LS산전,A1,3276,2.94473E+11,1.15534E+12,3.66135E+11,4.54536E+11,1.07068E+11,1.0065E+12,1.88049E+12,5.73857E+11,4.24339E+11,9.98196E+11,1.5E+11,500,1.5E+11,30000000,0,1.04371E+12,1.16364E+12,2.16184E+12,1.86605E+12,4.01307E+11,2.25904E+11,1.62108E+11,1.29413E+11,1.47648E+11,1.43873E+11,32802882600,1.09559E+11,3735.8,1.58968E+11,34017031600,23.2,34017031600,1.5563E+11,1.1107E+11,-13814953000,2.16579E+11,-70125011000,71689556600,2.23239E+11,2.94473E+11,3.428,10.676,5.46,32.07,42.45,41.078,-1.306,6.756,9.864,9.864,95.914,61.628,7.692,5.862,8.676,53.776,86.11,0.878,692.788,568340034
SK,A1,1929,1.08108E+11,7.932E+11,1.73342E+13,5.65545E+11,2.09954E+12,2.00164E+13,8.08021E+12,2.41259E+12,5.56307E+12,7.97566E+12,17516376400,500,15272000000,70360297,5.60583E+12,8.28035E+12,1.2834E+13,2.08096E+13,2.59458E+12,1.0918E+12,7.40315E+11,9.84365E+11,6.49663E+11,4.27968E+11,1.20606E+12,1.10804E+11,1.11703E+12,19962.4,8.20883E+12,2.25583E+11,2000,2.25583E+11,7.79899E+11,1.11703E+12,-1.15581E+12,1.63784E+12,3.7027E+11,-5643400000,1.14274E+11,1.08108E+11,7.696,5.426,7.826,14.824,85.71,80.638,-7.422,5.934,1.442,8.86,7839.202,5645.59,45.886,42.514,37.856,61.676,62.14,0.13,89197.716,632182028
기아자동차,A1,14462,5.86334E+11,1.38934E+13,1.02752E+13,1.08473E+13,2.36488E+12,2.44581E+13,1.66237E+13,8.52906E+12,6.84161E+12,1.53707E+13,1.28852E+12,500,2.13932E+12,405363347,1.77886E+12,1.93065E+13,2.29808E+13,3.83514E+13,3.19913E+13,2.88683E+12,4.61573E+12,4.76628E+11,9.87402E+11,7.41861E+11,7.22169E+11,64733600000,6.57436E+11,1639.8,6.75431E+11,3.44801E+11,17.2,3.44801E+11,2.78915E+12,6.57436E+11,-2.05594E+12,3.05646E+12,-7.80531E+11,-47325600000,6.3366E+11,5.86334E+11,1.086,0.762,0.22,-48.524,-57.292,-56.818,3.258,1.902,6.706,2.876,33.754,60.436,2.254,2.056,1.49,59.936,66.878,0.838,984.316,904146050
녹십자,A1,1994,86638592600,7.99627E+11,1.67634E+11,5.12089E+11,80218403400,7.79024E+11,7.43264E+11,2.44794E+11,2.87029E+11,5.31823E+11,58432690000,0,58432690000,11686538,3.09243E+11,6.95307E+11,1.04683E+12,1.57865E+12,1.12425E+12,2.92563E+11,2.41934E+11,59313776400,31894716000,27918970400,63289522000,12623453800,50666068200,4439.2,75539237000,12554496000,22,12554496000,25905823000,50666068200,-46941717000,60505327400,11531671400,-9504222400,97841825000,86638592600,4.486,3.434,4.878,-19.312,-11.328,-12.664,1.63,4.102,7.026,4.93,108.312,82.03,5.638,4.516,5.308,66.31,50.818,0.724,1752.608,557059708
롯데쇼핑,A1,12412,1.27839E+12,3.14889E+12,4.55971E+12,1.26788E+13,4.54813E+11,1.90969E+13,9.78351E+12,5.57389E+12,4.7238E+12,1.02977E+13,92518964200,100,1.4111E+11,28222071.8,3.40147E+12,1.08948E+13,1.19481E+13,2.22458E+13,1.03594E+13,5.09467E+12,4.74599E+12,4.37944E+11,1.18419E+12,1.69341E+12,-71277972600,82617919200,-1.53896E+11,-6094.6,2.36118E+11,1.46661E+11,104,1.46661E+11,8.91925E+11,-1.53896E+11,-1.18293E+12,1.69992E+12,2.00207E+11,-90802086800,1.36595E+12,1.27839E+12,-7.388,-12.23,-15.65,-23.414,233.02,613.82,-2.58,-0.394,2.242,-1.452,-58.31,-356.61,-0.766,-1.552,4.226,53.69,86.308,0.448,8370.928,623861736
롯데제과,A1,1899.6,97339182200,4.89691E+11,5.22797E+11,1.03116E+12,22275207000,1.59477E+12,1.85148E+12,4.12114E+11,6.24993E+11,1.03711E+12,6653428600,500,2766835800,5533671,1.03504E+12,12337943000,1.04736E+12,2.08446E+12,1.11306E+12,5.63438E+11,3.61945E+11,39713853000,12284685400,34227872000,17770666400,6485080800,11285586200,2646.6,12267307400,5472375400,178.4,5472375400,1.08535E+11,11285586200,-1.14862E+11,2.32415E+11,34737136200,28409545800,68950831800,97339182200,20.97,44.89,293.1,535.16,520.12,462.11,0.85,0.878,0.52,1.14,685.99,632.99,1.442,0.932,3.204,49.856,102.166,0.556,37972.916,234025552
